Date,HomeTeam,AwayTeam,HomeScore,AwayScore,MatchState,MatchLink,MatchCode
11/12/20,ENPPI,Aswan,0,1,FT,https://www.sofascore.com/aswan-sc-enppi/owrsDFIb#9206802,9206802
11/12/20,El-Gaish,El Gouna,1,1,FT,https://www.sofascore.com/el-gouna-fc-talaea-el-gaish/lwrspwr#9206805,9206805
11/12/20,El-Entag,Ceramica Cleopatra,0,2,FT,https://www.sofascore.com/ceramica-cleopatra-el-entag-el-harby/mwrsxHYc#9206799,9206799
12/12/20,National Bank,Wadi Degla,1,1,FT,https://www.sofascore.com/national-bank-of-egypt-wadi-degla/twrsBHgc#9206800,9206800
12/12/20,Pyramids,Al-Ittihad,1,2,FT,https://www.sofascore.com/pyramids-fc-al-ittihad-alexandria/Mdoscavb#9206803,9206803
12/12/20,Al-Mokawloon,Zamalek,0,2,FT,https://www.sofascore.com/zamalek-sc-al-mokawloon/pXqstXq#9206806,9206806
13/12/20,Al-Masry,Ismaily,0,0,FT,https://www.sofascore.com/al-masry-ismaily/qXqskwr#9206804,9206804
13/12/20,Al Ahly,El-Makkasa,3,1,FT,https://www.sofascore.com/misr-el-makkasa-al-ahly-fc/kNcsjwr#9206807,9206807
14/12/20,Smouha,El Mahalla,1,1,FT,https://www.sofascore.com/ghazl-el-mahalla-smouha/nwrsuqy#9206801,9206801
16/12/20,Aswan,El-Gaish,2,1,FT,https://www.sofascore.com/aswan-sc-talaea-el-gaish/lwrsDFIb#9231848,9231848
16/12/20,Ceramica Cleopatra,National Bank,3,1,FT,https://www.sofascore.com/ceramica-cleopatra-national-bank-of-egypt/BHgcsxHYc#9231834,9231834
16/12/20,Wadi Degla,Al-Mokawloon,2,1,FT,https://www.sofascore.com/wadi-degla-al-mokawloon/pXqstwr#9231840,9231840
17/12/20,El Gouna,Al-Masry,1,1,FT,https://www.sofascore.com/el-gouna-fc-al-masry/kwrspwr#9231860,9231860
17/12/20,Ismaily,El-Entag,3,3,FT,https://www.sofascore.com/el-entag-el-harby-ismaily/qXqsmwr#9231877,9231877
17/12/20,Pyramids,Zamalek,1,1,FT,https://www.sofascore.com/pyramids-fc-zamalek-sc/tXqscavb#9235226,9235226
18/12/20,El-Makkasa,ENPPI,0,1,FT,https://www.sofascore.com/enppi-misr-el-makkasa/jwrsowr#9231854,9231854
18/12/20,Al-Ittihad,Smouha,1,1,FT,https://www.sofascore.com/smouha-al-ittihad-alexandria/Mdosnwr#9231839,9231839
18/12/20,Al Ahly,El Mahalla,3,0,FT,https://www.sofascore.com/ghazl-el-mahalla-al-ahly-fc/kNcsuqy#9237909,9237909
21/12/20,National Bank,El-Entag,3,0,FT,https://www.sofascore.com/national-bank-of-egypt-el-entag-el-harby/mwrsBHgc#9231861,9231861
