#,Team,Name,Average Sofascore rating,Goals,Big chances missed,Succ. dribbles,Successful dribbles %,Total shots,Shots on target,Shots off target,Blocked shots,Goal conversion %,Penalties taken,Penalty goals,Penalty won,Shots from set piece,Free kick goals,Goals from inside the box,Goals from outside the box,Headed goals,Left foot goals,Right foot goals,Hit woodwork,Offsides,Penalty conversion,Set piece conversion %
1,Al Ahly FC,Akram Tawfik,7.66,1,0,10,55.56,1,1,0,0,100.0,0,0,1,0,0,1,0,0,1,0,0,0,0.0,0.0
2,Al Ahly FC,Ali Maâloul,7.55,8,0,15,65.22,18,9,5,4,44.44,6,6,0,3,1,6,2,0,8,0,1,6,100.0,33.33
3,Haras El Hedoud,Karim Emad,7.50,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
4,Zamalek SC,Zizo,7.37,13,7,53,42.4,89,29,42,18,14.61,10,4,1,15,3,9,4,1,0,12,3,13,40.0,20.0
5,Pyramids FC,Mohamed Chibi,7.33,0,0,11,68.75,12,3,3,6,0.0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,0.0
6,Al-Masry,Hossam Hassan,7.30,0,0,1,100.0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
7,Pyramids FC,Osama Galal,7.29,1,0,5,71.43,8,2,5,1,12.5,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0
8,Zamalek SC,Emam Ashour,7.28,2,2,20,44.44,43,15,16,12,4.65,0,0,0,1,0,1,1,0,0,2,1,1,0.0,0.0
9,Al Ahly FC,Mohamed Magdy Afsha,7.26,3,1,18,56.25,49,20,21,8,6.12,2,0,0,1,0,2,1,0,1,2,2,4,0.0,0.0
10,Al-Masry,Elyes Jelassi,7.25,5,0,53,63.1,37,15,11,11,13.51,5,5,0,12,0,5,0,0,0,5,0,3,100.0,0.0
11,El Dakhlya,Samir Fekri,7.25,9,4,27,43.55,57,25,19,13,15.79,5,5,1,4,0,7,2,0,2,7,1,5,100.0,0.0
12,Smouha,Hossam Hassan,7.23,7,1,5,33.33,55,24,21,10,12.73,2,2,1,0,0,7,0,1,0,6,2,9,100.0,0.0
13,Al Ahly FC,Amr El-Solia,7.21,4,1,4,25.0,26,7,12,7,15.38,2,2,0,0,0,3,1,1,0,3,0,0,100.0,0.0
14,ENPPI,Abdelrahman Samir,7.20,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
15,Smouha,Ahmed Abdel Aziz,7.20,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
16,Modern Future FC,Mohanad Lasheen,7.19,1,0,18,50.0,20,3,11,6,5.0,1,1,0,1,0,1,0,0,0,1,1,0,100.0,0.0
17,Al Ahly FC,Aliou Dieng,7.19,2,0,27,72.97,19,8,4,7,10.53,0,0,0,0,0,2,0,0,0,2,0,1,0.0,0.0
18,Al Ahly FC,Mohamed Hany,7.18,0,0,8,40.0,17,5,4,8,0.0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,0.0
19,Al-Masry,Essam Tharwat,7.18,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
20,Ghazl El Mahalla,Ahmed El Sheikh,7.16,10,2,30,62.5,65,29,28,8,15.38,4,4,2,11,0,9,1,1,0,9,1,16,100.0,0.0
21,Pyramids FC,Ali Gabr,7.15,1,3,1,100.0,13,6,7,0,7.69,0,0,0,0,0,1,0,0,0,1,0,2,0.0,0.0
22,Al Ahly FC,Mahmoud Metwaly,7.13,1,0,1,100.0,8,2,5,1,12.5,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0
23,Al Ahly FC,Marwan Attia,7.13,1,1,11,55.0,51,12,18,21,1.96,0,0,0,0,0,1,0,0,0,1,1,3,0.0,0.0
24,Al Ahly FC,Mohamed El-Shenawy,7.13,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
25,Al Ahly FC,Ali Lotfi,7.13,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
26,Zamalek SC,Mohamed Awad,7.12,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
27,Modern Future FC,Basem Ali,7.12,2,1,10,55.56,11,5,4,2,18.18,0,0,0,0,0,2,0,0,1,1,0,1,0.0,0.0
28,Al Ahly FC,Hussein El Shahat,7.11,4,3,14,32.56,38,14,13,11,10.53,2,0,2,0,0,3,1,0,0,4,1,8,0.0,0.0
29,Zamalek SC,Mahmoud Hamdi,7.10,1,0,0,0.0,3,1,2,0,33.33,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0
30,Pharco FC,Mahmoud El Sayed,7.10,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
31,Modern Future FC,Mahmoud Marei,7.09,0,0,7,63.64,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
32,Al Ahly FC,Mohamed Abdelmonem,7.09,0,0,7,70.0,8,0,7,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
33,Zamalek SC,Ahmed Fatouh,7.09,2,0,17,56.67,7,3,1,3,28.57,0,0,1,0,0,1,1,0,0,2,0,0,0.0,0.0
34,Modern Future FC,Joseph Jonathan Ngwem,7.08,2,0,10,47.62,19,4,8,7,10.53,0,0,0,4,0,2,0,0,2,0,1,5,0.0,0.0
35,Pyramids FC,Mahmoud Saber,7.08,2,0,1,25.0,12,5,4,3,16.67,0,0,0,0,0,0,1,0,1,0,1,4,0.0,0.0
36,Zamalek SC,Hossam Abdelmaguid,7.08,3,0,2,40.0,18,7,8,3,16.67,0,0,0,0,0,3,0,3,0,0,0,0,0.0,0.0
37,Al Ahly FC,Karim Fouad,7.08,2,3,11,61.11,18,7,7,4,11.11,0,0,1,1,0,2,0,0,0,2,1,3,0.0,0.0
38,Pyramids FC,Walid El Karti,7.07,2,1,7,25.0,22,5,12,5,9.09,0,0,0,0,0,2,0,1,1,0,0,4,0.0,0.0
39,El Dakhlya,Mohamed Magdi Abdel Fattah,7.07,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
40,Al Ahly FC,Hamdi Fathi,7.06,1,0,1,25.0,17,3,8,6,5.88,0,0,0,0,0,1,0,0,0,1,1,0,0.0,0.0
41,Al-Ittihad Alexandria,Mabululu,7.06,16,6,20,51.28,69,27,33,9,23.19,3,1,1,0,0,14,2,4,5,7,2,13,33.33,0.0
42,Pyramids FC,Abdallah El-Said,7.06,1,0,12,42.86,25,5,9,11,4.0,0,0,0,2,0,1,0,0,0,1,0,4,0.0,0.0
43,Al-Mokawloon,Mahmoud Abou El-Saoud,7.06,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
44,Modern Future FC,Mahmoud Genesh,7.05,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
45,ENPPI,Mohamed Ismail,7.05,0,0,2,100.0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
