#,Team,Name,Average Sofascore rating,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Errors lead to shot,Own goals,Dribbled past,Clean sheets
1,Al Ahly FC,Akram Tawfik,7.66,50,22,0,4,0,0,0,6,4
2,Al Ahly FC,Ali Maâloul,7.55,38,19,0,18,0,0,0,21,16
3,Haras El Hedoud,Karim Emad,7.50,0,0,0,7,0,0,0,0,0
4,Zamalek SC,Zizo,7.37,17,12,0,2,0,0,0,11,14
5,Pyramids FC,Mohamed Chibi,7.33,16,22,0,32,1,0,0,8,11
6,Al-Masry,Hossam Hassan,7.30,2,0,0,0,0,0,0,0,0
7,Pyramids FC,Osama Galal,7.29,29,21,0,40,0,0,0,8,6
8,Zamalek SC,Emam Ashour,7.28,38,17,0,8,0,0,0,6,6
9,Al Ahly FC,Mohamed Magdy Afsha,7.26,22,9,0,3,0,0,0,12,4
10,Al-Masry,Elyes Jelassi,7.25,17,12,0,4,0,0,0,18,5
11,El Dakhlya,Samir Fekri,7.25,52,19,0,15,0,0,0,13,0
12,Smouha,Hossam Hassan,7.23,17,3,0,6,0,0,0,4,3
13,Al Ahly FC,Amr El-Solia,7.21,39,16,0,24,0,0,0,11,5
14,ENPPI,Abdelrahman Samir,7.20,0,0,0,1,0,0,0,0,1
15,Smouha,Ahmed Abdel Aziz,7.20,5,3,0,9,0,0,0,0,1
16,Modern Future FC,Mohanad Lasheen,7.19,104,32,0,28,0,0,0,32,9
17,Al Ahly FC,Aliou Dieng,7.19,68,40,1,15,0,0,0,16,14
18,Al Ahly FC,Mohamed Hany,7.18,41,20,0,28,0,0,0,12,10
19,Al-Masry,Essam Tharwat,7.18,1,0,0,16,0,0,0,2,6
20,Ghazl El Mahalla,Ahmed El Sheikh,7.16,17,7,0,8,0,0,0,15,4
21,Pyramids FC,Ali Gabr,7.15,32,31,1,104,0,0,0,3,13
22,Al Ahly FC,Mahmoud Metwaly,7.13,27,26,0,41,0,0,0,7,12
23,Al Ahly FC,Marwan Attia,7.13,60,44,0,12,0,0,0,30,7
24,Al Ahly FC,Mohamed El-Shenawy,7.13,2,0,1,19,0,1,0,0,17
25,Al Ahly FC,Ali Lotfi,7.13,0,0,0,1,0,0,0,0,3
26,Zamalek SC,Mohamed Awad,7.12,0,0,0,16,1,0,0,0,8
27,Modern Future FC,Basem Ali,7.12,76,49,0,49,0,0,1,18,11
28,Al Ahly FC,Hussein El Shahat,7.11,11,9,0,4,0,0,0,13,2
29,Zamalek SC,Mahmoud Hamdi,7.10,8,12,0,23,0,0,0,0,3
30,Pharco FC,Mahmoud El Sayed,7.10,0,0,0,2,0,0,0,0,0
31,Modern Future FC,Mahmoud Marei,7.09,35,35,0,54,0,0,0,8,13
32,Al Ahly FC,Mohamed Abdelmonem,7.09,28,29,0,48,0,0,1,12,12
33,Zamalek SC,Ahmed Fatouh,7.09,28,32,0,24,0,0,1,11,8
34,Modern Future FC,Joseph Jonathan Ngwem,7.08,42,24,1,44,0,0,0,13,15
35,Pyramids FC,Mahmoud Saber,7.08,15,6,0,2,0,0,0,1,2
36,Zamalek SC,Hossam Abdelmaguid,7.08,34,33,1,120,2,1,0,10,12
37,Al Ahly FC,Karim Fouad,7.08,13,13,0,5,0,0,0,3,0
38,Pyramids FC,Walid El Karti,7.07,31,26,0,13,0,0,0,20,7
39,El Dakhlya,Mohamed Magdi Abdel Fattah,7.07,0,0,0,8,0,0,0,0,1
40,Al Ahly FC,Hamdi Fathi,7.06,19,21,0,15,0,0,0,12,5
41,Al-Ittihad Alexandria,Mabululu,7.06,17,2,0,26,0,0,0,8,2
42,Pyramids FC,Abdallah El-Said,7.06,10,7,0,13,0,0,0,6,2
43,Al-Mokawloon,Mahmoud Abou El-Saoud,7.06,1,0,0,59,0,0,1,0,14
44,Modern Future FC,Mahmoud Genesh,7.05,0,0,0,27,2,0,0,1,13
45,ENPPI,Mohamed Ismail,7.05,4,2,0,4,0,0,0,0,0
46,Haras El Hedoud,Ibrahim El Kadi,7.05,38,45,1,100,0,0,0,12,5
47,Ceramica Cleopatra,Ragab Nabil,7.05,46,39,0,98,0,0,1,10,11
48,Ceramica Cleopatra,Mohamed Shokry,7.04,60,68,2,46,0,0,0,26,11
49,Al-Ittihad Alexandria,Mahmoud Alaa,7.04,19,32,1,73,0,0,0,5,9
50,Al-Mokawloon,Omar Fayed,7.03,67,46,1,80,0,0,0,11,9
51,Ismaily,Mohamed Fawzi,7.02,0,0,0,9,0,0,0,0,3
52,Modern Future FC,Nasser Maher,7.01,20,5,0,0,0,0,0,12,3
53,ENPPI,Ahmed Kalosha,7.01,49,31,1,147,1,0,0,12,11
54,Haras El Hedoud,Mohamed Reda,7.00,43,24,0,36,0,0,0,8,3
55,Pyramids FC,Ahmed El-Shenawy,7.00,0,0,0,29,0,0,0,1,18
56,Pyramids FC,Mahmoud Ooka,7.00,0,0,0,0,0,0,0,0,0
57,Al-Masry,Adnan Osman,7.00,4,0,0,0,0,0,0,0,0
58,Haras El Hedoud,Ramzi Khaled,7.00,2,0,0,0,0,0,0,0,0
59,Al Ahly FC,Mostafa Shobeir,7.00,0,0,0,2,0,0,0,0,2
60,Al-Mokawloon,Ahmed Eid,7.00,6,3,0,3,0,0,0,0,0
61,Tala'ea El-Gaish,Karim Halawa,7.00,6,1,0,0,0,0,0,0,0
62,Al-Mokawloon,Omar Fathi,7.00,29,10,0,5,0,0,0,17,0
63,Pyramids FC,Ramadan Sobhi,6.99,15,6,0,7,0,0,0,7,5
64,Ceramica Cleopatra,Mohamed Bassam,6.99,1,0,0,21,2,0,0,1,12
65,Ismaily,Serge Aka,6.99,42,12,1,8,0,0,0,18,1
66,Al-Masry,Mohamed Dabash,6.99,16,25,0,37,0,0,0,5,4
67,Al-Masry,Hussein Sayed,6.99,43,38,0,20,0,0,0,8,5
68,ENPPI,Reda Sayed,6.99,2,1,0,36,0,3,0,0,11
69,Modern Future FC,Mahmoud Hamdy,6.99,1,2,0,3,0,0,0,0,6
70,ENPPI,Ahmed Amin Oufa,6.98,23,13,0,21,0,0,0,10,2
71,Al-Ittihad Alexandria,Mahdi Soliman,6.98,1,0,0,44,1,0,0,3,10
72,Tala'ea El-Gaish,Abdel Rahman Shika,6.98,29,26,0,7,0,0,0,11,1
73,Ghazl El Mahalla,Moaz El Henawy,6.98,43,46,1,124,1,1,0,11,8
74,Pyramids FC,Islam Issa,6.98,42,8,0,8,0,0,0,17,0
75,Zamalek SC,Mohamed Abdelghani,6.97,39,30,0,67,0,1,1,19,7
76,Al Ahly FC,Yasser Ibrahim,6.97,41,22,1,58,0,0,0,14,7
77,Ceramica Cleopatra,Mohamed Adel,6.97,49,47,1,26,0,0,0,20,7
78,Pyramids FC,Ibrahim Blati Toure,6.97,44,24,0,8,0,0,0,17,8
79,Smouha,Mohamed El Sabahi,6.97,2,2,0,0,0,0,0,4,0
80,Ismaily,Omar El Wahsh,6.96,49,18,1,9,0,0,0,10,0
81,Zamalek SC,Ahmed Belhadji,6.96,29,13,0,10,0,0,0,14,3
82,Al Ahly FC,Rami Rabia,6.96,18,15,0,28,0,0,0,6,6
83,El Dakhlya,Kamal Aboul-Fetouh,6.96,27,24,0,56,0,0,0,10,4
84,Modern Future FC,Ali El Fil,6.96,20,27,0,59,1,0,0,6,12
85,Ceramica Cleopatra,Mohamed Toni,6.96,35,13,0,10,0,0,0,10,4
86,Al-Mokawloon,Farouck Kabore,6.95,56,48,6,178,0,0,1,20,14
87,Aswan SC,Mohamed Hamdy Zaki,6.95,11,6,0,38,0,0,0,7,2
88,Ghazl El Mahalla,Mostafa El Aash,6.95,57,44,1,84,0,0,1,15,7
89,Pyramids FC,Mostafa Fathy,6.95,25,13,0,8,0,0,0,16,5
