#,Team,Name,Average Sofascore rating,Yellow cards,Red cards,Ground duels won,Ground duels won %,Aerial duels won,Aerial duels won %,Total duels won,Total duels won %,Minutes played,Was fouled,Fouls,Dispossessed,Possession lost,Appearances,Started
1,Al Ahly FC,Akram Tawfik,7.66,0,0,69,62.73,10,50.0,79,60.77,633,9,13,14,118,8,7
2,Al Ahly FC,Ali Maâloul,7.55,0,0,68,57.14,15,53.57,83,56.46,2154,15,14,12,471,25,24
3,Haras El Hedoud,Karim Emad,7.50,1,0,1,100.0,2,100.0,3,100.0,180,1,0,0,42,2,2
4,Zamalek SC,Zizo,7.37,2,0,136,44.88,12,41.38,148,44.58,2969,66,32,56,622,34,34
5,Pyramids FC,Mohamed Chibi,7.33,6,0,33,53.23,10,62.5,43,55.13,1859,6,13,3,350,22,23
6,Al-Masry,Hossam Hassan,7.30,0,0,4,100.0,2,66.67,6,85.71,18,1,0,0,9,2,0
7,Pyramids FC,Osama Galal,7.29,4,1,41,61.19,39,58.21,80,59.7,1064,7,17,2,124,12,12
8,Zamalek SC,Emam Ashour,7.28,1,0,92,60.13,15,40.54,107,56.32,1291,35,11,21,234,15,14
9,Al Ahly FC,Mohamed Magdy Afsha,7.26,1,0,67,57.76,12,57.14,79,57.66,1742,27,9,16,265,29,17
10,Al-Masry,Elyes Jelassi,7.25,6,0,168,58.13,6,42.86,174,57.43,2449,98,21,52,642,31,27
11,El Dakhlya,Samir Fekri,7.25,4,0,140,53.64,16,33.33,156,50.49,2611,62,45,31,552,33,29
12,Smouha,Hossam Hassan,7.23,3,0,45,41.67,46,40.71,91,41.18,1309,24,26,25,195,19,14
13,Al Ahly FC,Amr El-Solia,7.21,1,0,47,47.47,16,66.67,63,51.22,1288,4,23,8,220,19,14
14,ENPPI,Abdelrahman Samir,7.20,1,0,1,100.0,0,0.0,1,100.0,180,1,0,0,25,2,2
15,Smouha,Ahmed Abdel Aziz,7.20,0,0,9,81.82,0,0.0,9,75.0,180,4,1,0,27,2,2
16,Modern Future FC,Mohanad Lasheen,7.19,6,0,165,62.98,28,50.91,193,60.88,2110,43,31,19,353,27,22
17,Al Ahly FC,Aliou Dieng,7.19,2,0,110,59.78,25,58.14,135,59.47,2239,15,33,17,265,29,25
18,Al Ahly FC,Mohamed Hany,7.18,3,0,73,57.94,18,46.15,91,55.15,1616,24,20,10,270,21,18
