#,Team,Name,Average Sofascore rating,Big chances created,Assists,Accurate passes,Inaccurate passes,Total passes,Accurate passes %,Accurate own half passes,Accurate opposition half passes,Accurate final third passes,Key passes,Accurate crosses,Accurate crosses %,Acc. long balls,Accurate long balls %,Passes to assist
1,Al Ahly FC,Akram Tawfik,7.66,1,0,316,56,372,84.95,134,185,96,2,3,18.75,18,60.0,0
2,Al Ahly FC,Ali Maâloul,7.55,5,6,1277,273,1550,82.39,517,806,361,64,46,25.27,60,42.55,0
3,Haras El Hedoud,Karim Emad,7.50,0,0,21,42,63,33.33,10,11,5,0,0,0.0,15,26.32,0
4,Zamalek SC,Zizo,7.37,9,13,1160,218,1378,84.18,245,987,515,101,72,28.92,49,55.68,0
5,Pyramids FC,Mohamed Chibi,7.33,4,2,921,171,1092,84.34,474,484,222,39,37,24.18,101,62.73,1
6,Al-Masry,Hossam Hassan,7.30,0,0,9,4,13,69.23,2,8,2,2,1,25.0,1,50.0,0
7,Pyramids FC,Osama Galal,7.29,0,0,726,115,841,86.33,473,253,57,4,0,0.0,60,53.57,0
8,Zamalek SC,Emam Ashour,7.28,5,4,544,135,679,80.12,192,355,180,21,3,18.75,58,55.24,0
9,Al Ahly FC,Mohamed Magdy Afsha,7.26,11,6,1064,181,1245,85.46,332,736,394,57,4,19.05,65,70.65,0
10,Al-Masry,Elyes Jelassi,7.25,12,7,1136,339,1475,77.02,327,843,497,77,34,20.86,142,57.03,1
11,El Dakhlya,Samir Fekri,7.25,8,4,781,265,1046,74.67,326,505,256,55,50,25.51,46,46.94,0
12,Smouha,Hossam Hassan,7.23,4,5,247,107,354,69.77,67,182,99,13,2,20.0,7,58.33,0
13,Al Ahly FC,Amr El-Solia,7.21,4,3,685,168,853,80.3,254,434,201,22,3,50.0,69,54.33,0
14,ENPPI,Abdelrahman Samir,7.20,0,0,32,24,56,57.14,26,6,2,0,0,0.0,11,31.43,0
15,Smouha,Ahmed Abdel Aziz,7.20,0,0,23,14,37,62.16,12,13,7,0,2,16.67,0,0.0,0
16,Modern Future FC,Mohanad Lasheen,7.19,0,0,1328,246,1574,84.37,614,720,316,11,6,13.64,136,63.85,0
17,Al Ahly FC,Aliou Dieng,7.19,4,2,1475,197,1672,88.22,668,808,317,22,1,16.67,94,69.12,0
18,Al Ahly FC,Mohamed Hany,7.18,2,2,779,144,923,84.4,352,441,180,17,14,21.21,48,52.17,0
19,Al-Masry,Essam Tharwat,7.18,0,0,164,141,305,53.77,95,69,16,0,0,0.0,92,40.17,0
20,Ghazl El Mahalla,Ahmed El Sheikh,7.16,4,1,525,200,725,72.41,152,402,219,47,29,17.37,46,56.1,1
21,Pyramids FC,Ali Gabr,7.15,0,0,1472,217,1689,87.15,1046,426,84,3,0,0.0,111,52.36,0
22,Al Ahly FC,Mahmoud Metwaly,7.13,0,1,749,170,919,81.5,511,238,63,3,0,0.0,74,43.79,0
23,Al Ahly FC,Marwan Attia,7.13,1,1,1382,211,1593,86.75,645,749,305,22,12,36.36,152,70.37,0
24,Al Ahly FC,Mohamed El-Shenawy,7.13,0,0,421,213,634,66.4,346,75,19,1,0,0.0,156,43.45,0
25,Al Ahly FC,Ali Lotfi,7.13,0,0,59,10,69,85.51,55,4,0,0,0,0.0,17,65.38,0
26,Zamalek SC,Mohamed Awad,7.12,0,0,164,149,313,52.4,135,29,12,0,0,0.0,54,27.0,0
27,Modern Future FC,Basem Ali,7.12,0,1,953,273,1226,77.73,500,465,202,13,12,21.43,72,47.68,0
28,Al Ahly FC,Hussein El Shahat,7.11,7,5,462,151,613,75.37,118,359,201,33,15,27.27,21,52.5,2
29,Zamalek SC,Mahmoud Hamdi,7.10,0,0,274,69,343,79.88,216,58,16,0,0,0.0,29,44.62,0
30,Pharco FC,Mahmoud El Sayed,7.10,0,0,16,5,21,76.19,15,1,0,0,0,0.0,3,37.5,0
31,Modern Future FC,Mahmoud Marei,7.09,1,1,1318,217,1535,85.86,822,496,170,4,0,0.0,145,56.86,0
32,Al Ahly FC,Mohamed Abdelmonem,7.09,0,0,1029,132,1161,88.63,688,343,70,3,2,100.0,67,61.47,0
33,Zamalek SC,Ahmed Fatouh,7.09,0,3,863,192,1055,81.8,373,498,244,21,8,21.62,60,47.24,1
34,Modern Future FC,Joseph Jonathan Ngwem,7.08,6,5,1127,272,1399,80.56,586,576,231,30,35,18.52,78,50.32,0
35,Pyramids FC,Mahmoud Saber,7.08,2,2,253,47,300,84.33,102,152,74,8,1,12.5,28,82.35,0
36,Zamalek SC,Hossam Abdelmaguid,7.08,0,0,1181,239,1420,83.17,819,362,91,3,0,0.0,99,50.25,0
37,Al Ahly FC,Karim Fouad,7.08,2,3,203,67,270,75.19,58,153,91,13,8,30.77,6,37.5,0
38,Pyramids FC,Walid El Karti,7.07,7,9,1035,218,1253,82.6,426,614,282,38,5,41.67,92,58.97,0
39,El Dakhlya,Mohamed Magdi Abdel Fattah,7.07,0,0,29,36,65,44.62,8,21,2,0,0,0.0,24,40.68,0
40,Al Ahly FC,Hamdi Fathi,7.06,2,3,587,108,695,84.46,242,345,134,12,0,0.0,42,65.63,0
41,Al-Ittihad Alexandria,Mabululu,7.06,1,2,349,109,458,76.2,104,245,122,21,0,0.0,20,68.97,0
42,Pyramids FC,Abdallah El-Said,7.06,6,3,621,185,806,77.05,179,467,258,35,25,31.25,62,65.26,0
43,Al-Mokawloon,Mahmoud Abou El-Saoud,7.06,0,0,246,281,527,46.68,137,109,24,0,0,0.0,148,35.07,0
44,Modern Future FC,Mahmoud Genesh,7.05,0,0,405,194,599,67.61,365,40,16,0,0,0.0,95,33.33,0
45,ENPPI,Mohamed Ismail,7.05,0,0,50,18,68,73.53,32,18,9,0,0,0.0,5,50.0,0
46,Haras El Hedoud,Ibrahim El Kadi,7.05,0,0,580,219,799,72.59,400,181,59,8,1,50.0,66,36.87,0
47,Ceramica Cleopatra,Ragab Nabil,7.05,0,0,1177,293,1470,80.07,701,476,131,2,0,0.0,125,47.71,0
